,date,tital,user,dislike,like,rating,page_index
10,posted on 28 Nov 2019,Systems Engineer  in Bangalore, Anonymous · Manufacturing Division    ,"Dislikes Things which needs to be looked into,
1. Having a clear roadmap to execute a given work load needs to be improved.
2. Senior associates should too invest some time at coding with novice developers to help them learn better.
3. Blame game is bad if you have such people in your project.
4. Ample time needs to be given to developers for application development, things should not be in a hurry.
5. Salary Hike is not so impressive for junior associates who are starting there career with TCS. Good associates feel forced to leave the company just because of low salary increment. If this criteria is looked upon, TCS can retain good quality employees.
6. Infrastructure Team at TCS needs to work quickly.
7. Approval for any activity from higher level management takes too much time, needs to have a good,smooth and quick workflow.
8. People who work are made to work too much. But those who don't work are neither asked to work nor any action is taken against them(politics).
9. Annual Appraisal process needs to be reviewed, current one is not upto the mark as most people work only during appraisals, or they get good ratings just because they act close to their appraisers.

...Read More","Likes Life at TCS is all dependant on the type of Project one is allocated to but still one can find these things good.
1. Job Security is best.
2. A good work-life balance (at few times things may become hectic but at other times it's balanced).
3. Too many people to interact with.
4. Chance to work on the very latest technologies (again it's project specific).
5. Onsite possibility which is decided as per the following(just some unanimous conclusion),
a) The project has On-site work.
b) Years of working at TCS by the employee.
c) Immeasurable Knowledge with equally impressive articulation skill with good soft skills (Soft-skill is very important).
d) Very good at fooling people and convincing them for one's good.
6. Work-environment depends on the type of  associates one works with(mine was good)....Read More",3.0,3
11,posted on 27 Jul 2020,It Analyst  in Bhubaneswar, Anonymous · It Software Division    ,Dislikes Compensation is not good enough. Very few  projects have office politics. ,"Likes TCS the name says it all. When it's Tata it's always BEST. Best and most secure company one can imagine at this crisis and pandemic time.  Job security, complete and comfortable work from home, good work life balance.. A. Very employee friendly company. ",5.0,3
12,posted on 13 Aug 2020,It Analyst  in Bhubaneswar, Anonymous · Retail Division    ,"Dislikes The working hours now has become more than hours we work at office. Even though working for 10-11 hrs a day, they are no hikes.",Likes TCS support is extraordinary during this pandemic by giving work from home option. There is no risk of covid to the associates and also no impact in productivity. But the thing is working hours has become more than 9hrs and still hikes are not there.,5.0,3
13,posted on 28 Jun 2018,Business Analyst  in Mumbai, Anonymous · Internal Division    ,"Dislikes TCS is like an ocean, some find pearls and diamonds, some find stones and shells, I am the unfortunate one to get the latter one. It is like a curse being in IT. the work pressure is immense, people who proactively work will be burdened until the succumb to pressure, the people who like to enjoy will have the time of their life and loiter around to glory. Getting a release is totally at project managers discretion, I remember the line from the favorite song of eagles, me and my friend used to sing together ""you may checkout anytime you want, but you may never leave!"". Getting a release from one project is an impossible task, the HR will be ready to let you go out of TCS but will not release from the project, every plea goes unheard. none of the escalations work! the only option is to quit. New joiners are mislead into internal as they lack knowledge and are naive. Experienced people are cheated and thrown into the pit. The internal employees are wise enough to escape the limbo. Just a warning sign whoever is considering joining TCS which otherwise is a heaven for IT geniuses. ...Read More","Likes You will see job security mentioned in all the posts, TCS has a good brand name and you can flaunt it and it is a matter of pride. The learning opportunities are immense as the learning and development has plethora of articles, exams and training material to enhance your skills. The compensation is the best among the MNC;s but depends on your managers perspective. Sycophancy is omnipresent, needless to say, having said that I will still mention salary part the positives  The medical and the digital claim system makes the life easy, the facilities like gym and cafeteria varies from location to location, if you are lucky enough to be deputed at a good place you will get good amenities, place like Malad is an old asylum. The infrastructure is poor. Cons of getting stuck in an internal project. ...Read More",1.0,3
14,posted on 30 Aug 2020,Software Manual Tester for 6 year in Bangalore, Anand Livingstan · Current Employee · Software Testing Division    ,Dislikes Not much ! Some of the activities done by team managers for cost cutting ,Likes Great support....!,5.0,3
15,posted on 01 Aug 2020,Database Administrator  in Pune, Anonymous · Data Management Division    ,"Dislikes Salary and appraisals 

It's been 4 years I am working with TCS with all my efforts and diligence.
And my package is 2.2 LPA, And I have seen they are offering package of 4 LPA  for the same work profile in same project I was working with 2 months before.
",Likes Job security is the only thing I would like to appreciate during this COVID 19 lockdown,3.0,3
16,posted on 28 Aug 2020,Business Process Lead  in Gandhinagar, Anonymous · Us Mortgage Division    ,"Dislikes Compensation and promotions
Will donate crores of rupees to Tata Funds, but increment for employee is lesser than the Peanut",Likes Security,4.0,3
17,posted on 25 Jun 2020,Software Engineer  in Delhi, Anonymous · Information Technology Division    ,"Dislikes Pros:
Work life balance and job security.

Cons:
Will destroy your career, NO learning, lots of regrets after joining this company","Likes TCS is not supporting us during the lockdown. They are asking employees to come back from home and stay near the office in spite of the dangerous on-going condition.
They have neither provided laptops nor provided internet for working from home in spite of the fact that the company has thousands of crores of profit every quarter.
Also one should never join TCS in their career starting days, as they will destroy your life completely, No learning. I am AGAIN REPEATING you WILL NOT learn anything in this company....Read More",1.0,3
18,posted on 21 Aug 2020,"Senior Visual Designer, SME For Content Management Team And QC For Myer Retail Online Site (Australi  in Bangalore", Anonymous · COVID helpline Division    ,"Dislikes Night Shift, which is there in all the other companies",Likes TATA is the only company that comes up heartfully to help not only its associates and also their near family members. I am very proud to say I am an employee of TATA.,4.0,3
19,posted on 19 Aug 2020,Process Associate  in Mumbai, Anonymous · Trade Finance Operations Division    ,"Dislikes Management politics , worst tactics and boot lickers are around and they rule here",Likes Job security for people who are already earning good can switch to the company but freshers do not expect for good growth here,2.0,3
20,posted on 28 Aug 2020,Project Manager  in Kolkata, Anonymous · IT Division    ,Dislikes Salary below average ,Likes Work life balance,4.0,4
21,posted on 11 Aug 2020,Assistant Consultant  in Pune, Anonymous · Finance Division    ,Dislikes They have forcefully given C rating to employees and then fired people by saying average performance. Company culture is bad and it's terrible working there.,Likes Onsite opportunities,1.0,4
22,posted on 14 Aug 2020,Officer  in Hyderabad, Anonymous · CEG Division    ,Dislikes Job security ok but income increment very very bad,"Likes Very less salaries in this company as compare to market,and they are not given any bonus for the covid 19 situation rather than increment of salary,we are doing our work from home too.but company not provided increment .There is not decreased the work even covid 19 situations",3.0,4
23,posted on 12 Aug 2020,Process Associate  in Pune, Anonymous · Giga space Division    ,Dislikes As per my experience admin is not proper. During night shift there was alot problem against transport facility for girls. Not security guard provide for home drop. After completing no action taken by admin.,"Likes Good environment. Due to COVID 19 lockdown work from home is provided, hence it's very safe for employees.",4.0,4
24,posted on 24 Aug 2020,SAP SD Consultant- IT Software - ERP  in Hyderabad, Anonymous · Information Technology Division    ,"Dislikes Not for youngsters but for thos who want to settle their carreer, not a challenging environment, no encouragement in skill development, work culture seems is nt good","Likes Is not for who looking for challenging and skill development roles, but good for easy go minded people and job secure people.. Not at all good for youngsters ",3.0,4
25,posted on 06 Aug 2020,Assistant Consultant  in Kolkata, Anonymous · Information Technology Division    ,Dislikes A lot of people waste their and company's time. It seems like both of these two parties are quite careless about the fact. It affects the motivation of hard working bunch and indirectly affects the paycheck as well.,"Likes Overall experience is good. But a lot of people keep wasting their and company's time here. This indirectly impact the hard working bunch. TCS has been supportive during this COVID period. It's been a continuous WFH since April and company keep gathering information on associate's well being. There are covid corner, dedicated helpline number and on call docto's assistance to help someone out.",4.0,4
26,posted on 21 Aug 2020,Counter Sales  in Indore, Anonymous · Sales Division    ,Dislikes So many reasons to dislike about working at TCS when working at TCS anyone misbehaving me or unlike activitie in our working place . Like gambling etc so wil not working at TCS,Likes TCS one of tha multinational com. Is very soft and nice place to working to everyone desire and evry person dreams come true and  TCS is tha most comfortable working Environment compare to other compny.,5.0,4
27,posted on 25 Dec 2018,It Analyst  in Powai In Mumbai, Anonymous · IT Division    ,"Dislikes Learning n training is WebEx based which doesn't help that effectively, moreover employee is occupied in his daily so kuch that he couldn't give time to extra time other activities rather than work,which eventually effects his goals n appraisals. Your manager doesn't release you from one account n use u till they have project.movingresources from one project to another eventually distracts the focus of employee from his work. Some projects are really worst to work. But you can't deny those projects so forcefully you have to work. There is so much biasness shown when it comes to appraisals. All HR RMG N PM are not helpfull when it comes to the release n promotions n appraisals.any complaint you make will eventually turned as your mistake only. Tcs HRs are pathetic..No buddy i hve seen helpful when u r in trouble. On-site opportunity are there but only for those who does buttering with leads n managers. Hard working people are treated as donkeys. For showing ur innovations u need to work on weekend or seat extra in office after completing ur 9 hrs duty..Work satisfaction is less. I worked here for 2.5 years but now got bored due to motivation or consideration in d project. Nobody appreciates your for hard work. Nd ur smart work is compansate with any single mistake as if ur d biggest culprit of everthing....Read More",Likes Work life balance is there. No frequent weekend workings.job security is there. No politics. Teammates are from different cultural background and work happily with each other. Salary n other compnsations are good. Mediclaim policies n insurance are excellent.,3.0,4
28,posted on 25 Aug 2020,Assistant System Engineer Trainee  in Gurgaon , Anonymous · It Services Division    ,"Dislikes Learning n training is WebEx based which doesn't help that effectively, moreover employee is occupied in his daily so kuch that he couldn't give time to extra time other activities rather than work,which eventually effects his goals n appraisals. Your manager doesn't release you from one account n use u till they have project.movingresources from one project to another eventually distracts the focus of employee from his work. Some projects are really worst to work. But you can't deny those projects so forcefully you have to work. There is so much biasness shown when it comes to appraisals. All HR RMG N PM are not helpfull when it comes to the release n promotions n appraisals.any complaint you make will eventually turned as your mistake only. Tcs HRs are pathetic..No buddy i hve seen helpful when u r in trouble. On-site opportunity are there but only for those who does buttering with leads n managers. Hard working people are treated as donkeys. For showing ur innovations u need to work on weekend or seat extra in office after completing ur 9 hrs duty..Work satisfaction is less. I worked here for 2.5 years but now got bored due to motivation or consideration in d project. Nobody appreciates your for hard work. Nd ur smart work is compansate with any single mistake as if ur d biggest culprit of everthing....Read More",Likes The company support is very good. Special thanks to Ratan Tata sir for donating huge amount to need one’s.,5.0,4
29,posted on 30 Jul 2020,Zonal Manager for 1.5 years in Fridabad, Anonymous · Former Employee · Telecommunication Division    ,Dislikes There is a lot of politics and the management doesn't address our issues. ,Likes Good work environment and culture. There is a huge cafeteria and gaming arcade for chilling. Company policies are good. Appraisal are fair and they give salary hike and bonus nothing. ,3.0,4
30,posted on 09 Aug 2020,AML And KYC Analyst  in Pune, Anonymous · Branch Banking Division    ,"Dislikes as you we know situation National emergency covid-19 and in between my family is not allowing to move pune .I asked my manager to movement to Bangalore tcs 
 It is nearest location to my native and family is agree with bangalore location and I submit my father medical reports .yet my manager was not realising me since may I am requesting to HR,DM,Lead,etc. They are telling we cannot realising anyone from account and look up to many of my friends from my account already they got transfer in last week....Read More",Likes Really hands up to this organization because as in this situation many peoples are unable to working and company is not let them.,5.0,5
31,posted on 07 Aug 2020,Salesforce Developer for 4.9 years in Pune, Anonymous · Current Employee · Information Technology Division    ,"Dislikes Bad Management. No support to work & learn on new things. Managers are treating as they are god or they are owner of TCS. TCS means trust but in management you can't trust on any senior person. They are not promoting or supporting for your aspirations. 
I have no concerns with TCS and it is best compony. 
It will become most valuable IT company if they support to employees for career aspirations....Read More",Likes In this situation company supporting us very well. There is issue with salary as there is no deduction. ,4.0,5
32,posted on 15 Aug 2020,Technical Support Analyst for 11 months in Chennai, Anonymous · Current Employee · ITIS Division    ,"Dislikes Bad Management. No support to work & learn on new things. Managers are treating as they are god or they are owner of TCS. TCS means trust but in management you can't trust on any senior person. They are not promoting or supporting for your aspirations. 
I have no concerns with TCS and it is best compony. 
It will become most valuable IT company if they support to employees for career aspirations....Read More","Likes I can consider it as one of the most reliable organisations during this global pandemic,
Thought there are lots of internal projects are suffering, still there allocating project to their associates, I have friends in other MNCs, they are simply asking them to stay on the bench or indirectly forcing me to leave the job,

But as per my personal realisation,END OF THE DAY WHAT WILL SAVE YOU IS YOUR PRODUCTIVITY...Read More",5.0,5
33,posted on 22 Aug 2020,Automation Test Engineer for 3.5 years in Bangalore, Nikhil Sharma · Current Employee · Software Testing Division    ,Dislikes nothing,"Likes its best... in terms of security,work life balance,team , other activities and skill development",5.0,5
34,posted on 20 Aug 2020,Investment Banking Associate  in Adibatla (hyd), Anonymous · Banking & Finance Division    ,Dislikes No dis likes in TCS,"Likes It's like govt job,work culture excellent, excellent company policies, unbelievable about TCS policies.",5.0,5
35,posted on 31 Jul 2020,"Information Technology Analyst  in Cincinnati, OH, USA", Anonymous · Supply Chain Management Division    ,Dislikes Not anything that I think about.,Likes TCS has handled the pandemic situation in very great manner. They implemented work from home culture immediately due to the wide spread of Corona virus taking associates health as a primary concern. The same has been communicated to the clients. ,5.0,5
36,posted on 18 Feb 2019,Project Manager for 7.6 years in BENGALURU, Anonymous · Former Employee · ITIS Division    ,"Dislikes Compensation was very low for my experience & competency. I was not able to balance my personal life with the salary paid by TCS. I had really faced difficult time in terms of money.

Work wise, learnings, knowledge & Role was awesome interms of professional life. I really give 5 stars.. 

Company also should thing about the employees, who has been decades in the company, when company needs support.. we have put our heart & soul to the growth of the company, when they need it, supporting clients 24/7 without giving rest to our body sometimes.. they should also not leave employee family to float on floods. TCS contribute for the flood relief fund & other welfare for the society as CSR.. I feel that first TCS should take care of there family members there employee, who are suffering for bread & butter. Literally on my last day of my release, I was emotional, when I spoke to my ex manager. I have done so much to the company, taken many risks & faced lot of challenges.. supported the company more than my family... But I realised late that, company treats employees as a Sugarcane juice.. use it how much you can, when you need them. So many of my friends at TCS are suffering in the same fashion... Atleast company should wake up & support other employees, as per there experience & competency for the market standards, likewise when they hire a new comers. I pray God to make this happen soon and help many employees family....Read More","Likes TCS is Awesome company to work in IT industry, you get all the support from the mgmt team and freedom to work.",4.0,5
37,posted on 08 Aug 2020,Senior Process Associate  in Baroda, Anonymous · Business Process Outsourcing Division    ,Dislikes Currently they are not having much project here at Baroda location so they are asking me to relocate to gandhinagar after offices reopen but its not possible for me to relocate as I have to take care of my old aged parents my mother is a heart patient I can't leave her and relocate. I told this to HR and he asked me to resign if I cannot relocate. In this pandemic how can someone ask to resign a job. I felt very pathetic about him....Read More,Likes Tcs is supporting Work from home ,3.0,5
38,posted on 27 Jul 2020,Qa Analyst  in Powai, Anonymous · It Software Division    ,"Dislikes There is a lobby in the management which never let you grow..Because if you want to grow u have to be always behind them like yes sir yes sir whatever they say u have to follow or else no promotion no onsite nothing...
eg: My manager he was good for nothing but because he was having a godmother my DM (Delivery Manager) whom my manager used to bring tea, chair lift her bag to the car that is how he survived and became portfolio manager....Read More",Likes As i was a Contractor employee from last 5 years they treated like me a contractor and removed me within 15 days during this COVID-19 pandemic..Now how can I trust and what will I like about this company who cannot support their contractor employees during this situation also...very bad experience,1.0,5
39,posted on 12 Aug 2020,Assistant System Engineer  for 1.4 years in Gurgaon, Anonymous · Current Employee · BFSI Division    ,Dislikes No compensation atleast bonus should be given. Next year hoping for compensation.,Likes In this pandemic there is secure job which means a lot.,5.0,5
40,posted on 17 Aug 2020,Associate  in Pune, Anonymous · Insurance Division    ,"Dislikes No groth for fresher it's, difficult to increase salary for fresher. ",Likes Job security ,5.0,6
41,posted on 08 Aug 2020,Gis Engineer for 4.6 years in Hyderabad, Anonymous · Current Employee · Gis Engineer Division    ,"Dislikes In lockdown TCS povides all employees to work from home option but some projects provide the WFH option in within Hyderabad only.So, I would like to suggest to allow WFH for all employees to similar.",Likes In lockdown time TCS pay the salary to all employees and also provide the COVID health centers this is very usefull for all TCS employees.,5.0,6
42,posted on 15 Aug 2020,Senior Process Associate  in Chennai, Anonymous · Anti Money Laundering-KYC Division    ,"Dislikes In lockdown TCS povides all employees to work from home option but some projects provide the WFH option in within Hyderabad only.So, I would like to suggest to allow WFH for all employees to similar.","Likes Work culture is good, as colleagues used to support a lot, together as team we used to work hard & enjoy as well, work life balance used to be good, overall experience is great.",4.0,6
43,posted on 19 Aug 2020,Associate  in Gandhinagar, Anonymous · LPO Division    ,"Dislikes The same of project and some manager or team leader is not capable to manage their associates at all.. they haven't control own their language 
",Likes When you think about tcs yes they are given job security..but then after their is not personal life..it was like burden for us..there is no growth in financially..,3.0,6
44,posted on 19 Aug 2020,Devops Engineer  in Gurgaon, Anonymous · Information Technology Division    ,Dislikes No Appreciation and Recognition.Most of the employees are not satisfied regarding this concern from their supervisors.,Likes Learning opportunities.,4.0,6
45,posted on 06 Aug 2020,Information Processing Specialist  in KOLKATA, Anonymous · Finance & Accounts Division    ,Dislikes I am doing work from home. My work life balance is pathetic. Doing worm from home means you are available 24*7 for system log in. Personal life is zero. ,Likes I mostly like their health insurance policy. You will get the treatment from best hospital in the country under the mediclaim. No need to worry for the hospital bill. ,4.0,6
46,posted on 17 Aug 2020,Software Developer  in Bengaluru, Anonymous · Software Development Division    ,Dislikes since the organization  has a lot of members  you can get things to approve easily ,Likes The Working Culture ,4.0,6
47,posted on 14 Aug 2020,Software Tester  in Chennai, Anonymous · Software Developers Division    ,Dislikes Bad management during covid time. Only supporting local guys for system delivery because High management is local one only.,Likes I don't like any thing in tcs. Manager always support local guys. No support during covid time. My manager didn't inform me about tcs system is required and after the they are calling us to base location.,2.0,6
48,posted on 08 Jul 2020,Associate Consultant  in Hyderabad, Anonymous · Enterprise Solutions Division    ,Dislikes There are some restrictions in projects which do not let you groom well. I will not name all projects but a few of them are. Sometimes you have to compromise with your expectations to run the project smoothly.,"Likes The most important thing is, TCS does not layoff anyone. Though hiring for seniors are not happening, but those given offer, TCS is committed and did not cancelled the offer due to COVID. 
It also helped in virtual joining in this pandemic situation. It provided all employee to work from home.
TCS is more project oriented and certain variables payments are based on projects. But that is what consultant is expected to work on certain project.
...Read More",5.0,6
49,posted on 13 Aug 2020,Assistant Manager  in Thane West, Anonymous · Sap Finance Division    ,Dislikes Finding a good project from home is very difficult unlike during pre-covid days,Likes Good support from TCS honestly.   But timesheet policy has become very strict.     ,4.0,6
50,posted on 14 Aug 2020,Senior Business Analyst  in Mumbai, Anonymous · Retail Branch Banking Division    ,"Dislikes Career growth ,projects ar not allocated as per skillset and ppl are put on bench if there is no project. Compensation and hikes are poor. ",Likes Job security,3.0,7
51,posted on 06 Aug 2020,"Associate System Engineer for 1.5 years in Bengaluru, Karnataka", Anonymous · Former Employee · It Software Division    ,Dislikes No perks and recently they made a policy of not hiring back ex-employees of TCS which is quite upsetting,Likes Enjoyed my time working there. Had good exposure on latest technologies (if you are part of Innovation labs) and flexible work timings :) ,5.0,7
52,posted on 10 Aug 2020,Process Associate  in Nagpur, Anonymous · Financial Services Division    ,"Dislikes Though there is job security, pay also need to be in line with the current average which was not upto mark. ","Likes I'm no longer an employee, I left the job in 2017 for higher studies. HR Person and Managers helped alot for higher study policies. ",4.0,7
53,posted on 21 Jul 2020,Identity And Access Management Analyst for 4 year in Bangalore, Anonymous · Current Employee · Banking Division    ,"Dislikes Delayed promotion, compensation, slow career growth, having to work on shifts to support clients during their time.",Likes Really supportive. Work from home is comparatively safe during this period. They have not called us back to office which is like risking our lives. Hope TCS will let us work from home until corona is completely gone as there is life rosk everywhere. We have a convenient work environment and we feel more productive for reasons like extended office hours. ,4.0,7
54,posted on 03 Aug 2020,System Engineer  in Gurugram, Anonymous · Development Division    ,"Dislikes Salary hike is terrible, on-site chances are available for experienced people that too purely depends on your luck, learning is comparatively low as compared to other small scale company.","Likes No layoffs, No deduction in salaries, COVID 19 cover, quarantine facility, oxygen cylinder facility for employee and dependent and lot more.",4.0,7
55,posted on 16 Aug 2020,"It Analyst  in Chennai, Tamil Nadu, India", Anonymous · Information Technology Division    ,Dislikes Haven’t found any significant dislikes yet.,Likes We can be 99% assured that our jobs are secured. Also we have a lot of exposure and opportunities to improve ourself. I feel proud and lucky working in TCS,5.0,7
56,posted on 13 Aug 2020,System Engineer for 2.4 years in Delhi, Anonymous · Current Employee · Finance & Accounts Division    ,Dislikes Long Working hours ,"Likes Webinars for guidance for better heath in covid time, availability of heath experts, counsellors, daily tips, yoga sessions, ergonomic tips and sessions and a lot more.",5.0,7
57,posted on 02 Aug 2020,Domain Consultant  in Hyderabad , Anonymous · Sab edm Division    ,Dislikes Very low income. ,"Likes We have full job security and on time salary payment but salary is too less and hike percentage is too low. Plus because of covid we got zero hikes zero promotions this year. Its too hard to grep financially in this company. If you looking for making good money as yur ground rule, then this is not the company for you. ",1.0,7
58,posted on 17 Aug 2020,Senior Associate for 2 months in Hinjewadi Phase 3, Anonymous · Former Employee · Telstra Process Division    ,Dislikes prakash iyer tower lead for telstra process should terminated immediately because of his dirty politics I am begging on the streets of Pune. ,"Likes Prakash Iyer Tower lead for telstra should be terminated immediately .
",1.0,7
59,posted on 07 Aug 2020,System Engineer  in Pune, Anonymous · Banking & Finance Division    ,Dislikes It will be like the salary hike and compensation what we receive. The growth in your professional life can be very slow but it depends on every individual. ,Likes TCS has never let you feel that there is a recession going on. I have no insecurities about my job nor about salary. Everything have been maintained very smoothly and didn't even bother to let us know what is happening around the world.,4.0,7
60,posted on 14 Aug 2020,System Engineer  in Chennai, Anonymous · Information Technology Division    ,Dislikes Full politics and managers will take disciplinary action on innocent employers for asking release ,Likes No company culture full of micro management worst managers No promotion or hikes,1.0,8
61,posted on 13 Aug 2020,System Engineer  in New Delhi, Anonymous · Information Technology Division    ,Dislikes You just dont get paid enough for what you do. ,Likes I havent come across any incident of lay off. The employees continue to get their regular compensation. TATA has been kind  and compassionate. I believe the projects have been a little over the edge by bumping up the pressure at this hour of pandemic,4.0,8
62,posted on 12 Aug 2020,Production Support Analyst  in Bangalore, Anonymous · Thinkcampus Division    ,Dislikes Nothing all are very good to me ,"Likes I was one of the employees of TCS, now I am not part of the company, but when I worked with TCS it was all time I felt better and I felt I am at a safe place, given a opportunity I want to continue my services with TCS ",4.0,8
63,posted on 25 Jul 2020,System Engineer  in Kolkata, Anonymous · Information Technology Division    ,Dislikes Nothing all are very good to me ,"Likes There has been no increment this year. But in these uncertain circumstances, TCS has promised no job cuts. And it has also provided reimbursement facilities for some work from home paraphernalias. HR's have called a number of associates enquiring about overall health of the associate and family. It has also provided helpline numbersfor various issues that might arise if an associate Or a family member is COVID infected. Overall, TCS has handled the situation fairly well.Of course, lack of any increments this year has demotivated a number of associates but as of now, I choose to overlook that. ...Read More",4.0,8
64,posted on 11 Aug 2020,System Engineer  in Mumbai, Anonymous · Banking Division    ,Dislikes It is a very good firm but now I am seeking a firm which can offer high compensation. ,Likes In this pandemic it has never stopped the salary. Also have provided camp for the covid affected employees,5.0,8
65,posted on 13 Aug 2020,Business Analyst  in Hyderabad, Anonymous · Health care Division    ,Dislikes Management plays with life of people in career growth they will hold promotion if they hate us,Likes Good health policies,5.0,8
66,posted on 14 Aug 2020,It Analyst for 5.9 years in Noida, Anonymous · Current Employee · Life Science Division    ,"Dislikes Some project politics and less perks, small increments ","Likes job security,work life balance",4.0,8
67,posted on 14 Aug 2020,Process Associate  in Hyderabad, Anonymous · Insurance Division    ,Dislikes Pay scale n hikes,Likes Recognition of hard worker,4.0,8
