,date,tital,user,dislike,like,rating,page_index
10,posted on 27 Jul 2020,Bpo Information Processing Specialist for 2.5 years in Chennai, Anonymous · Former Employee · Banking & Insurance Division    ,Dislikes Nothing,Likes TCS is good and safetest environment to work. They are support their associate in many ways during COVID -19,4.0,21
11,posted on 22 Jul 2020,Associate/senior Associate -(nontechnical) for 3.6 years in Chennai, Anonymous · Former Employee · Banking & Finance Division    ,Dislikes Hike was pathetic,Likes Work from home nothing much abou,2.0,21
12,posted on 24 Jul 2020,It Analyst for 6 months in Chennai, Anonymous · Former Employee · IT Analyst - Desktop Support engineer Division    ,Dislikes Only the Chairs designed are not fulfil ergonomics theory ,"Likes Awesome Workplace, Nice Atmosphere, Work Life balance ",5.0,21
13,posted on 21 Jul 2020,System Engineer  in Chennai, Anonymous · Former Employee · Information Technology Division    ,Dislikes Salary and compensation benefits,Likes Except salary and compensation benefits everything is excellent within the company,4.0,21
14,posted on 15 May 2020,Salesforce Developer  in Noida, Anonymous · IT Division    ,"Dislikes Everything.
No senior in the team for technical guidance. They put someone from siebel experience in Salesforce project as a lead and that guy was horrible. I joined as a fresher in that project and that guy made me write apex batch job by continuously putting pressure on me and I had never created even a workflow before that.
Thejob broke many times in full sandbox and I had to apply patches of fix many times by all by myself to just make it working. No one was there to guide me. Also they asked me to create custom object but didn't tell me to create sharing rules also for the object and by that time I never heard what is sharing rule and when at the time of ST and UAT, the data was not visible to user then I created one permission set and provided view all access to lowest level user.

I really regret joining this company, hope you understand what kind of developer they made me so please don't join this company....Read More",Likes Work from home only,1.0,21
15,posted on 20 Jul 2020,Sharepoint Developer for 2.7 years in Noida , Anonymous · Former Employee · Software Development Division    ,Dislikes Higher management is not supportive at all ,"Likes TCS is not supportive at all for junior associates. It's just like if you have experience then only they ask about your health.

My personal experience with TCS is very bad. They have created such a situation for me that I have resigned from my Job in Covid 19 pandemic. 
",2.0,21
16,posted on 02 Jun 2020,Associate  in Kolkata, Anonymous · Utility Division    ,"Dislikes There are more cons than pros 
1. You have to submit your phone throughout your working time. You cannot take your phones on floor ,means there is no connection with your family incase of any emergency. The floor telephone isnt accesseble to every employee.
2. 1hr break is divided into 30 mins / 30 mins . They do not allow the later 30min break. And if your first 30 mins break exceeds to 35mins  they send you warning mail.
3. If your offline time is more than 3mins or 5mins for washroom or filling water bottles the floor head literally calls you and scolds you.
4. My team lead was extremely rude. No manners nothing.  Not at all ready to listen to the problems of the team.
5. There are many many more ..... to be honest endless...Read More","Likes The traning session was fun,learnt a lot  . Thats it.",3.0,21
17,posted on 12 Aug 2019,Sdet (software Development Engineer In Test)  in Kolkata, Anonymous · IT Application Development and Maintenance Division    ,"Dislikes Work Environment is not so good as people don't have work, one can see people showing off as if they have a lot of work. A lot of favouritism occurs during appraisals. Management driven organisation as all the seniors get the best rating even if they don't work. Change of technology is absolutely not possible. Once you are allocatedin a project which is not of interest, then getting released from there is impossible. People are forced to join projects which is not of their interest and skillset. Hike structure is very less. Not so good for freshers as one can see that he/she has gained lot of technical knowledge and expertise but earning very less salary. There is almost no on-site opportunities from TCS...Read More","Likes Team mates are average, Job security is too high, similar to Government job. You can see people more than 15 years of experience moving around you. Work Life Balance is too high. You can even spend the entire day doing nothing and not even stay for 9 hours, no one will tell you anything. Well still there are places where you can innovate and share your ideas. TCS gives privileges to new ideas and innovation. It is the best place to settle down after 8-10 years of experience as Job security is high....Read More",4.0,21
18,posted on 25 Jul 2020,I.t.analyst for 4.3 years in Gg7 Gurgaon, Anonymous · Former Employee · Corporate Banking software Division    ,Dislikes Yearly less incriment,Likes Job security and work culture onsite opportunities,5.0,21
19,posted on 10 Jul 2020,Associate It Analyst  in Bangalore, Anonymous · It Software Division    ,Dislikes The management ...I know it's been with every single organization but it's too much as I observed in tcs ... This management politics really distrubs the image of the company,Likes It was really a nice intiative by hrs and management by calling each individual's personally and asking about their safety and any help required for them to work smoothly,3.0,21
20,posted on 26 Jul 2020,System Engineer for 3.5 years in Gurgaon, Anonymous · Current Employee · Financial Services Division    ,Dislikes Increment is less,"Likes Everything is good like job security, skill deveoopment, carrer growth",4.0,22
21,posted on 08 Jul 2020,It Analyst  in Kolkata," Anonymous · BFS, Hi-Tech, Oracle Division    ","Dislikes Compensation is low, Onsite opportunity is less, career growth is very slow",Likes Experience may vary project to project. My overall experience is good. Main good part in TCS is job security and its health insurance scheme,4.0,22
22,posted on 24 Jun 2020,Process Associate  in Varanasi , Anonymous · BPO Division    ,"Dislikes It's nothing uncertain every where you get good and bad people you just need to play safe and focus on doing your best and being on the top in whatever you do , salary is a bit less as far I think they could increase the percentage than what actually they do increase. ","Likes What I personally like the most being at TCS is that there is no foul play within the organization and it provides a complete job security to its employees,  and yeah no deduction of salary even in this pandemic. Got to learn much from the company, overall changes the perspective of a candidate. 
",5.0,22
23,posted on 16 Jul 2020,Team Leader for 6.3 years in Kolkata, Anonymous · Current Employee · BPS Division    ,Dislikes No hike this year & very poor hike in last 2 yrs.,Likes Excellent support... received full salary even when work from home was not started.. proud to b a TCSer,5.0,22
24,posted on 21 Jul 2020,Ast  in Kolkata, Anonymous · SAP ABAP on HANA/Workflow Division    ,Dislikes Training,Likes Job security is high. company policy also good but it's only in note book not follow in reality ( it's project specific ).,4.0,22
25,posted on 08 Mar 2020,Software Support Executive  in Hyderabad, Anonymous · Waverock Division    ,"Dislikes Less hike and bonus,no good projects","Likes I have been working in TCS for past 1 yr 8 months and I am so lucky enough to start my career over here.See, its a very good company and no one can take you out of your job unless you do some serious violation. But the growth is so poor in the company, i mean there are very old projects which doesnt have any scope. If you are jus some one looking for job security then its the best, but for career growth its poor because you wont get any salary hike and bonus. So my advice is jus stay in the company for 2 years and then learn new technologies and move out of the company or else you will hear number of times from your manager if you ask him to move into some other development project that ""We have got one onsite chance, its a very good project. We will send u next month"". These are fake promises . DONT STAY HERE .JUS LOOK FOR UR CAREER AND MOVE OUT...Read More",3.0,22
26,posted on 16 Nov 2018,Information Process Enabler for 4.3 years in Chennai, Anonymous · Current Employee · Trade and Finance Division    ,"Dislikes I would not find anything which make me dislike regarding the company.Yes some how management inside somewhere is good or bed depends upon place to place or people's mentalities and beliefs. Sometimes few management rather than puting our policies, regulations and work cultures of our company infront of foreign client accepts and agrees their all contracts or SLAs which creates unnecessary high work load or pressure and makes disatishfaction inside which leads towards high absentism and attrition. Managements should accept or agree the cotracts or businesses of clients putting a eyes on our employees safety and policy first or with a mutual agreements which makes business 
smooth, long run and stagnent. ...Read More",Likes TCS strongly keep it's brand value towards the satishfaction of their customers and clients in innovative way. Growth rate is always constant or bit higher if anyone have client and customer handling skills or IT or language skill. Infact i am coming from a general back ground upskill myself to a Trade and financial expirt in payments and collections. Though people from general back ground would possibly working hard to get upskill themselves still all have a equal opportunity in respect to career and growth and feeling proud to be a TCSer....Read More,5.0,22
27,posted on 20 Jul 2020,"It Analyst  in Chennai , Velachery", Anonymous · CBO Division    ,Dislikes Chennai Velachery Office is worst with respect to work culture if you know regional lang it is best.,Likes Nothing to sayy,3.0,22
28,posted on 16 Jul 2020,Business Process Lead  in Mumbai , Anonymous · Life Science Division    ,Dislikes Working hours not fixed while work from home due to which life balance disturb ,Likes Am glad to say am working in tcs,3.0,22
29,posted on 01 Jun 2020,Sap Security And Grc Consultant  in Mumbai, Anonymous · SAP Division    ,"Dislikes I have joined as third party associate 8 months back and now in this covid-19 situation they decided to discontinue all third party and in my project without giving me any notice period released me. I have worked 12-14 hrs daily and even sat-sun, but no value to employees and didn't try to keep in the project even there is requirement. Only internal switch of employees is done. If don't have capacity,why hire employees from third party and remove in between. ...Read More",Likes Work from home option,1.0,22
30,posted on 21 Jul 2020,Assistant Consultant  in Chennai, Anonymous · Manufacturing Division    ,"Dislikes Compensation , Growth options and work life balance",Likes It is not as they say it is . Published stuff is very different from practice.,2.0,23
31,posted on 01 Jun 2020,Information Technology Analyst for 3.5 years in Hyderabad, Anonymous · Current Employee · SAP ABAP Division    ,"Dislikes Salary hikes are not up to the mark based on scale A (8), B(6), C(4)","Likes First of all TCS is a very deginified and cool company.  Job will be very safe.comming to Covid-19 pandemic situation, TCS was supporting to employees in a very well structured approach, it has provided desktops to most of the employees on March 15 2020 and given some security alerts as well.So I really like Tcs very much since it will show a good direction to all the employees.",5.0,23
32,posted on 19 Jul 2020,It Analyst  in Bangalore , Anonymous · IT Division    ,Dislikes Nothing ,Likes Very good job security and supports employees during covid providing free doctor consultation and provides preventive actions. Very supportive ,5.0,23
33,posted on 16 Jul 2020,Technical Support Executive  in Mumbai, Anonymous · Investment Banking Division    ,"Dislikes No much hike , if opportunity for onsite is not in your horizon then you can change your mind ","Likes Company has shown trust on employees and now they are planning to send official desktops to home address of employees, those who were unable to collect machines before lockdown .",4.0,23
34,posted on 25 Jan 2020,Quality System Engineer for 3 years in Pune, Anonymous · Current Employee · Banking and Finance Division    ,"Dislikes As usual Politics and everything is here happens through process that are defined, which are time consuming. Hike percentage is relatively low compared to others.","Likes TCS is a multinational company, its having good projects/accounts(lots of onsite positions) if you drop in some of them then your career is bright like anything ..it has different domains and company is also focusing on trending technologies.  
job security 100%. career growth depends on which account you are landing in after joining. salary as per the market standards. In TCS most of the account wont track your in and out time, you can finish your work and can leave the office . No WFH. I can say work life balance is best. Organization has 36% of women employees(it is the best organization for women employees)...Read More",4.0,23
35,posted on 25 Sep 2019,Assistant Systems Engineer  in Noida, Anonymous · IT Division    ,"Dislikes 1. If you are dedicated to your work, management will give you the opportunity for a level above but deny for on roll papers stating that it is not in TCS policy. In addition, you would have to work with same salary but yes your work load will get increase as they have given you the opportunity.
2. If you ask something for your benefit like another opportunity/ leave/ release from project, they will behave like you have asked them to give their land and will scolding you. Instances, they will change your seat, start coming on your desk and watching your system to see what work you are doing, change your shift and here tourture will start.
3. TCS has poor transport management. No one listen the employees concern. Here if you will go to the transport head..he simply says "" why are you coming to me"" I am a admin person. If you will talk to another transport member, they ask to talk to the transport head..and this goes in loop which has no end.
4. IT Employees have to pay for transport cabs but there is no deduction for BPS employees.
5. Cafeteria is full of rats roaming around the food which assocites eat on daily basis....Read More",Likes Job security is the only thing which is good here as they will never fire you even if you just come to the office and logout in the end without doing any work.,1.0,23
36,posted on 19 Jul 2020,Line Incharge  in Chennai, Anonymous · Operator Division    ,Dislikes Not dis like in tcs,Likes Good work and good support from team mets . Good salary ana every uesr incerement in salary and bonas,4.0,23
37,posted on 03 Jul 2020,Application Support Analyst  in Chennai , Anonymous · Insurance and finance Division    ,Dislikes Nothing ,Likes I like Skill development  and learning technology .we can learn through via ultimatix it's useful for us and it is easy to learn.  We are supporting rotational shift based. ,5.0,23
38,posted on 14 Jul 2020,Process Associate  in Gandhinagar, Anonymous · Mortgage Loan Division    ,Dislikes Working hours,Likes The atmosphere of the premises and relationship with the employees. ,5.0,23
39,posted on 10 Jul 2020,Business Process Lead  in Kolkata, Anonymous · Life Insurance Division    ,Dislikes Working hours,"Likes The key point during the Covid-19 pandemic is job security. In terms of job security, TCS is doing great and a way ahead of all.",5.0,23
40,posted on 22 Jun 2020,System Engineer  in Noida, Anonymous · Technical Support Division    ,Dislikes Growth opportunity is worst. They never put u it the projects that fits u best. Rather put u according to their requirements.,Likes Overall work experience is not very bad. But the important thing is your job is secured but if u want to grow and learn new skills find a product based company where u can get overall development. In covid situation they dint fire their their employees and provide an opportunity to work from home.,4.0,24
41,posted on 16 Jul 2020,Business Process Lead for 9.4 years in Bangalore, Anonymous · Current Employee · Business Process Outsourcing Division    ,Dislikes Opportunities giving to a person who has basic knowledge is very less even though their are many projects,Likes Very good,3.0,24
42,posted on 19 Apr 2020,Service Now Developer  in Kolkata, Anonymous · IT Division    ,"Dislikes In TCS there are high chances after sometime you will get repetitive work to do. Even you complain to managers or seniors no one will hear you, but you have to carry on your boring work. Yes you get job security, but that's not enough as you get to see very less hikes in salary and other benefits. They have a cab facility which is just a showoff with cab shortages always. They should look after for the employees with hikes and facilities....Read More",Likes I liked working in TCS. I got to learn new things from the projects i was offered. I got great teammates who helped me in every scenario. I got work life balance. But as days went by my work became stagnant with no challenges in work. One thing which is good in TCS is Job Security. ,4.0,24
43,posted on 15 Jul 2020,It Analyst  in Noida, Anonymous · Healthcare Division    ,Dislikes Career growth is less in terms of increments and opportunities,Likes Excellent support by the TCS,5.0,24
44,posted on 15 Jul 2020,Senior Process Associate  in Mumbai, Anonymous · Finance & Accounts Division    ,Dislikes They promote TATA is a big brand but No hike and promotions. ,Likes Job security,3.0,24
45,posted on 29 Feb 2020,Associate/senior Associate -(nontechnical)  in Kolkata, Anonymous · FINANCE  Division    ,"Dislikes Never ever I suggest to join tcs bpo as a fresher...
Also almost things are ok.
But mid level management specially in accounting domain, ( indian) are very unfropessional few of them.

Who come from other company and treat tcs as fully govt job.
They get good hike and the fresher suffer...
Coz that outsider who join tcs in midof his job card We will treat old employers very bad specially his juniour...
I am a big time victim but in kolkatta no option better then TCS in overall.
I really big fan of Tata group but just coz few mid level management and cheap level politics in Kolkata location are worst. ...Read More","Likes Medical benefit, job security good police's, brand Name ect ect",3.0,24
46,posted on 14 Jul 2020,Operations Manager for 4.7 years in Delhi, Anonymous · Current Employee · Operations Division    ,Dislikes There is nothing to dislike apart from salary,"Likes I am lucky to be a part of such organization, I am getting all possible help from the company.",5.0,24
47,posted on 15 Jul 2020,Desktop Support Engineer  in Pune, Anonymous · Information Technology Division    ,Dislikes There is nothing to dislike apart from salary,Likes Good career in TCS,4.0,24
48,posted on 08 Nov 2018,Assistant System Engineer  in Chennai, Anonymous · computer consultancy Division    ,"Dislikes Many things and they are mentioned in a point wise manner
1.Supervisors or project leaders and project managers had less knowledge and skills then their subordinate employees.
2.The weight or points on  updating skills and knowledge was given the last priority .
3.Multi skilled employees were treated in a very bad manner by humanresource officials and such employees were underrated .
4.The judgements and appraisal by human resource officials and immediate supervisors were biased and flattery was the key directive towards performance appraisal .
5.Please take my example i was de allocated from a project on june or july 2008(cannot remember the exact month) and after my resignation i remained unemployed for ten years .My resume was suppressed and not a single human resource of other companies contacted me for a job .If you can understand my situation how i would have felt after doing four word class certifications and skill updates and being thrown out of a project which was giving good revenue to TCSL.No body can return to me my ten years of frustration and humiliation .
6.The TATA group as such is renowned for using employees and destroying their careers   ....Read More",Likes There is absolutely nothing which i liked .The physical design of the goal sheets set by supervisors and human resource official was good but the implementation and following it were pretty bad .,1.0,24
49,posted on 12 Jul 2020,Technical Leader  in Gurgaon, Anonymous · It Development Division    ,Dislikes Compensation and promotions are not done timely and upto the mark,Likes I am working from home from last 4 months. They have provided the computer systems at home.,5.0,24
50,posted on 08 Jul 2020,System Engineer  in Hyderabad, Anonymous · Digital Interactive Division    ,Dislikes No good salary,Likes It was good company. Good work life balance,5.0,25
51,posted on 27 Sep 2019,Process Associate  in Kolkata, Anonymous · BPS (R2R) Division    ,"Dislikes I'm writing this on a basis of my personal experience. Yearly appraisal is not up to the mark. Growth is very slow. If you are working in an old project or low cost budget project then you have to struggle there from yearly appraisal to promotion. Thier cost cutting policy is so cheap you will get the cab for pickup or drop(depend upon shift timing) but driver will not switch on the AC due to company's guideline. There is no team outing from company's budget. All the time you need to pay from your pocket. There is no yearly bonus. Apart from this, there are lots of politics,biasness and difficult to balance working & personal life due to high work pressure....Read More","Likes Tcs is a decent firm to work with. It is good for both freshers as well as experienced associates. It's a good platform to grow your knowledge and enhance your career. There are many things to learn over there. It also conducts Internal learning programme where you will get to know about fire safety,women safety etc. Apart from this, the best part is company assures you job security. It won't terminate you after the ram down of the project unless you have done any compliance issue....Read More",4.0,25
52,posted on 10 Jul 2020,Citizen Service Executive  in Trichy, Anonymous · Ites Division    ,Dislikes No dislike,"Likes In other companies they terminated the employees at covid 19 period, but in our tata consultancy services they give salary at proper month....Proud to be an TCS staff",5.0,25
53,posted on 01 Jul 2020,"It Analyst for 5 year in Chennai, Tamil Nadu, India", Anonymous · Former Employee · Delivery Division    ,"Dislikes In certain situations, Management does not care about the employees if they are mistreated by clients",Likes I am not working any more in TCS,3.0,25
54,posted on 29 Sep 2019,It Analyst for 4.2 years in Andheri Mumbai, Swapnil Gharote · Current Employee · Technology - Banking Domain Division    ,Dislikes Nothing as of now. It's my first company so you know it is love ❤️at first side 😄,"Likes Hello Guys, 😄

I have been working here since last 4.5 years and overall it is a good experience so far.  I had joined TCS in 2015 and till now I am learning so many things from my senior, teammates and colleagues. If you talk about career growth then yes, it's it is there but slowly and you have to keep it up till your target otherwise you will not get the good opportunity from manager or account manager. You have to show your visibility on how much you can contribute to the project. 
May it be whatever it's related to the project or internal work so that no one can stop you. 💪🤝

Career growth: 🚀🛰
Frankly speaking, if you are coming for onsite or looking for onsite then please don't trust anymore because you must go from politics and as you know well very and well it's everywhere.🤔🙄

Career appraisal: 🏆
it depends on you how they know you and how they on believe you.🤪

Job security: ⏰
Yup, it is there as much as I know. It is like semi Government 😃

Innovation/Ideation:💡 
Yes, you have to submit at least one idea till your appraisal otherwise manager will definitely ask.

Salary: 🤣
What is this? Yes without salary no one will work but awww if you are talking about hike/increment 😪 then it is very less as you thinking more 🤣

Note: TCS is the very good and secure company for the girls 👩 ...Read More",5.0,25
55,posted on 26 Jun 2020,Work Flow Specialist  in Chennai , Anonymous · Market Research Division    ,"Dislikes Over stressed, respected only on the basis of performance ",Likes Friendly work environment ,1.0,25
56,posted on 27 Nov 2019,Associate Consultant  in Hyderabad, Anonymous · ITIS Division    ,"Dislikes One should always remember that TCS is like any other Indian IT company, this is not a charity. As long as you are billable in the project, you are safe otherwise your count-down starts till you get new project. However, one suggestion is always you should be part of any niche technology development team, do not opt for management roles irrespective of your no. of experience years. If it is not possible, then better to exit and look for some other company. ...Read More","Likes TCS is one Indian corporate office. Unlike some companies like Infosys, you will enjoy here with flexible timings, no entry and exit time considerations, result oriented...remaining things are common to any other IT company in India. As long as you are working on niche technologies, your job is safe. Salaries and Appraisals based onyour bargaining capabilities and your performances. The other things are nothing great and similar to other IT companies. Reg. work-life balance, that depends on your project, shifts and dependency in the project. One big plus point in TCS is the Health Insurance which covers your family including your parents. Many companies covers Health insurance to your family but not to your parents. ...Read More",4.0,25
57,posted on 13 Jun 2020,Business Analyst for 1.8 years in Bangalore , Anonymous · Former Employee · Think campus Market data  Division    ,"Dislikes Not a good place specially for learners .
Lots of internal politics which impects the quick and smart learners as they do not get proper recognition.
They may allocate any profile to a stupid and worthless work. This is the main reason for people to leave the organisation.","Likes I am not a current employee of TCS 
",2.0,25
58,posted on 10 Jul 2020,"Customer Support  in Moradabad, Uttar Pradesh, India", Anonymous · Current Employee · Customer Support Division    ,Dislikes Nothing can be done now,Likes Work from home job,1.0,25
59,posted on 27 May 2020,Case Manager  in Mumbai, Anonymous · Pharmacovigilance Division    ,Dislikes I dislike the way some team leads keep on pampering for a simple work. Also there is politics between the senior and newly joined associates as they are being dominated sometimes by some few. Compensation is good but the personal growth is not that fast. ,Likes Trainings are held on daily basis are helpful also the teammates are cooperative and helpful nature. Regarding salary not so satisfied as being after 6months there is no appraisal. Environment is basically professional and well mannered. ,4.0,25
60,posted on 29 Jun 2020,System Engineer  in Noida, Anonymous · Life Science Division    ,Dislikes Nothing ,"Likes Work life balance 
Work from home and support on call for problems ",4.0,26
61,posted on 01 Dec 2019,Developer  in BENGALURU, Anonymous · Banking and Financial Services Division    ,"Dislikes Please note: My experiences are specific to the Bangalore RMG and their attitude towards the newly hired resources.

They do not care about the skillsets of the employee. The provisions taken to assign any employee to a project is laughable. Whether applicants are coding hires or herded like sheep, they are categorized the same. If you know java / python - expect to be assigned any support project as they don't care about the skill set at all. Only thing I learnt there is that you cannot depend on your higher ups to take any action according to you. Career growth and learning are just a ruse here as those things are available to people who stay in office on bench and have ample time to do nothing but surf the mails and participate in the random seminars. I had attended some of the seminars and none of them were comprehensible, or at the least audible. 

For people working in locations other than Bangalore, I hope the situation isn't as dire as this.

P.S. As per the internal news, the management is taking provisions to ensure that correct skillset mapping is done at the RMG level. If they fail to do so, they will be facing the consequences. Please ensure that your superiors do not the unduly advantage....Read More","Likes The teamwork and the ambiance at the ILP was one of the highlights of my entire experience. TCS Ahmadabad is a place to be for mental and career satisfaction, and TCS Hyderabad for project related learning.",3.0,26
62,posted on 08 Jul 2020,It Analyst  in Gurugram , Anonymous · Information technology  Division    ,Dislikes Low compensation increment ,Likes Team. Work quality,4.0,26
63,posted on 21 Oct 2019,It Analyst  in Bangalore, Anonymous · IT Division    ,Dislikes The worst part about the organization is the career growth and learning opportunities they offer you. Your personal ambitions are kept on the back seat and you may not be given appropriate training which you want. Your work is not decided based on what you are good at rather it is decided based on their requirements which many a times lead to improper resource management and even ruining one's career. Also in recent times the compensation has been terrible with highest hike being given around 7%. Also the work culture mostly in tcs is to avoid or transfer the work to the others like passing the ball. There are very few who work for the completion of the work which imparts a wrong work culture among freshers....Read More,"Likes The best thing about TCS is the job security it offers. You can be pretty much secure about your job and work without the worry of loosing a job. Some very good seniors and peer also help you and support you throughout though they are less in number. Work life balance is good, you can easily have a personal life while working for the organization, rest depends on the project you are in but over all work is not too much. People looking for onsite opportunities can come here and search for a suitable project and can meet their aspirations....Read More",3.0,26
64,posted on 21 Jun 2020,"System Engineer  in Gurgaon, Haryana, India", Anonymous · Travel & Hospitality Division    ,"Dislikes Nepotism is common. South indians are given better opportunities than north indians.
Most of the projects are Chennai and Bangalore driven. May be that is the reason","Likes Not much support. Only selected high profile employees are privileged to work from home.
",3.0,26
65,posted on 28 Jun 2020,System Engineer  in Kochi, Anonymous · Information Technology Division    ,Dislikes Compensation and hike will be less,Likes Best company  in terms of career growth and job security..If you are a person who continously switch companies and wanted to settle with one workplace..TCS is a very good option.,5.0,26
66,posted on 27 Jun 2020,Customer Support Associate  in Hyderabad, Anonymous · Former Employee · Customer Support Division    ,Dislikes Salary is very less comparing With direct company employees and cunsultency employees ,Likes Yes Tcs is a good company we joined in Tcs through cunsultency .. At the time of covid-19 they removed us.. Still we unemployee of this critical situation. ,3.0,26
67,posted on 07 Jul 2020,Test Engineer  in Bangalore, Anonymous · Technical Division    ,Dislikes Nothing is good,"Likes Calling back there employee to base location. If it's a known mnc company,then atleast they can deliver desktop to employees at there location. In this situation we have to travel, we have to be in quarantine centres and collect desktop.",1.0,26
68,posted on 30 May 2020,Process Associate  in Hyderabad, Anonymous · Cdwecare Division    ,Dislikes Don't come to Tcs as a fresher because it has paying high salary for experience employees only. ,"Likes I am very happy to be party of Tcs family my company giving full salary to all the employes who are working and non working during this covid-19 and my company has job security and many projects available to shift one process to another but it takes certain period of time. 


Finally I am fully happy to be part of Tcs. ",5.0,26
69,posted on 11 Oct 2019,Customer Support Manager  in Hyderabad, Anonymous · BPO and Healthcare Division    ,Dislikes I completely disappointed by the management and training because without a employee comfort how come they proceed the associate to work in the environment were all the things are unadjustable to him or her and dragged associates to the level were associate will come to resignation part were he or she dont want to go with it because they love to work at tcs because they believe that tcs provides career development and ambition achievement goals.So i request to the higher management to please look into this issue and feel comfort to the employees were they do not have to take the decision of resignation and if tcs give me a other chance to join i definitely join tcs and happy to work with the organisation....Read More,"Likes The working environment with tcs is not far better and in less time they have done with the training and thrown me in floor hurdle. yes i believe job security in tcs is much better compared to other organisation and salary appraisals iam ok with the management so issues in travelling but managed about politics no such thing entertain in tcs, i believe this is the better place for innovation for a new things and i believe that i managed to balance my work life....Read More",5.0,26
70,posted on 26 Jun 2020,Plm Developer  in Hyderabad, Anonymous · PLM Division    ,"Dislikes Company pay structure,It's too low and u can't survive with this in any metro. Hike will be normally 3-5. Promotions are almost from heaven for associates above 6 yrs of experience.",Likes Good part is they are holding employees and not laying off unless it is utmost.TCS is better place to settle in your career but it is not recommended for fresher's and career aspirants.,3.0,27
71,posted on 01 Jan 2020,Data Manager  in Mumbai, Anonymous · Clinical data management Division    ,Dislikes for me to work in TCS was dream but when dream came true it was totally opposite to what I thought. I worked in previous company yet they did not consider my previous experience and I joined as fresher. After one year I got the worst band (rating) in my team as I am the only new member in team. Because of rating my increased salary was deducted (you can say negative increment). I was not able to change my job because I was in such process which was not anywhere in other companies and to learn new things in team was more difficult ( cross training). In next 2 years I learned more by showing interest and Hardwork and I got best rating that definitely means I was not for worst band which was given only because I was new to team. Also because of first year rating I can say I worked for 3 years on same package (first company and next 2 years in TCS). I am now completely lost my faith from TCS....Read More,Likes The brand TATA,1.0,27
